goid,definition,ontology,term,number_of_transctipts,transcripts_id
GO:0060337,"A series of molecular signals initiated by the binding of a type I interferon to a receptor on the surface of a cell, and ending with regulation of a downstream cellular process, e.g. transcription. Type I interferons include the interferon-alpha, beta, delta, episilon, zeta, kappa, tau, and omega gene families.",BP,type I interferon signaling pathway,3,"TRINITY_DN33447_c2_g3_i1,TRINITY_DN38524_c4_g6_i3,TRINITY_DN24730_c0_g2_i3"
GO:0060372,Any process that modulates the establishment or extent of a membrane potential in the polarizing direction towards the resting potential in an atrial cardiomyocyte.,BP,regulation of atrial cardiac muscle cell membrane repolarization,1,TRINITY_DN29867_c5_g1_i3
GO:0060378,Any process that modulates brood size. Brood size is the number of progeny that survive embryogenesis and are cared for at one time.,BP,regulation of brood size,1,TRINITY_DN32822_c1_g2_i1
GO:0060385,"The neurite development process that generates a long process of a neuron, as it invades a target tissue.",BP,axonogenesis involved in innervation,1,TRINITY_DN39284_c5_g2_i8
GO:0060392,"Any process that decreases the rate, frequency or extent of SMAD protein import into the nucleus, i.e. the directed movement of a SMAD proteins from the cytoplasm into the nucleus. Pathway-restricted SMAD proteins and common-partner SMAD proteins are involved in the transforming growth factor beta receptor signaling pathways.",BP,negative regulation of SMAD protein import into nucleus,1,TRINITY_DN31876_c0_g1_i5
GO:0060393,"Any process that modulates the rate, frequency or extent of pathway-restricted SMAD protein phosphorylation. Pathway-restricted SMAD proteins and common-partner SMAD proteins are involved in the transforming growth factor beta receptor signaling pathways.",BP,regulation of pathway-restricted SMAD protein phosphorylation,1,TRINITY_DN26765_c0_g3_i2
GO:0060394,"Any process that decreases the rate, frequency or extent of pathway-restricted SMAD protein phosphorylation. Pathway-restricted SMAD proteins and common-partner SMAD proteins are involved in the transforming growth factor beta receptor signaling pathways.",BP,negative regulation of pathway-restricted SMAD protein phosphorylation,1,TRINITY_DN31876_c0_g1_i5
GO:0060412,The developmental process in which a ventricular septum is generated and organized. A ventricular septum is an anatomical structure that separates the lower chambers (ventricles) of the heart from one another.,BP,ventricular septum morphogenesis,1,TRINITY_DN35224_c1_g1_i6
GO:0060420,Any process that modulates the rate or extent of heart growth. Heart growth is the increase in size or mass of the heart.,BP,regulation of heart growth,1,TRINITY_DN32520_c0_g1_i2
GO:0060425,The process in which the anatomical structures of the lung are generated and organized.,BP,lung morphogenesis,1,TRINITY_DN36329_c1_g1_i1
GO:0060548,"Any process that decreases the rate or frequency of cell death. Cell death is the specific activation or halting of processes within a cell so that its vital functions markedly cease, rather than simply deteriorating gradually over time, which culminates in cell death.",BP,negative regulation of cell death,2,"TRINITY_DN35224_c1_g1_i6,TRINITY_DN32468_c3_g2_i2"
GO:0060563,The process in which epiblast cells acquire specialized features of neuroepithelial cells.,BP,neuroepithelial cell differentiation,2,"TRINITY_DN38300_c1_g1_i10,TRINITY_DN35224_c1_g1_i6"
GO:0060612,"The process whose specific outcome is the progression of adipose tissue over time, from its formation to the mature structure. Adipose tissue is specialized tissue that is used to store fat.",BP,adipose tissue development,2,"TRINITY_DN30443_c0_g1_i2,TRINITY_DN30443_c0_g1_i4"
GO:0060627,"Any process that modulates the rate, frequency, or extent of vesicle-mediated transport, the directed movement of substances, either within a vesicle or in the vesicle membrane, into, out of or within a cell.",BP,regulation of vesicle-mediated transport,1,TRINITY_DN35737_c0_g1_i5
GO:0060644,The process in which a relatively unspecialized epithelial cell becomes a more specialized epithelial cell of the mammary gland.,BP,mammary gland epithelial cell differentiation,1,TRINITY_DN33012_c5_g1_i6
GO:0060674,"The process whose specific outcome is the progression of a blood vessel of the placenta over time, from its formation to the mature structure.",BP,placenta blood vessel development,1,TRINITY_DN26160_c0_g1_i1
GO:0060716,"The process whose specific outcome is the progression of a blood vessel of the labyrinthine layer of the placenta over time, from its formation to the mature structure. The embryonic vessels grow through the layer to come in close contact with the maternal blood supply.",BP,labyrinthine layer blood vessel development,1,TRINITY_DN26160_c0_g1_i1
GO:0060734,"Any process that modulates the rate, frequency, or extent of eIF2 alpha phosphorylation as a cellular response to endoplasmic reticulum stress.",BP,regulation of endoplasmic reticulum stress-induced eIF2 alpha phosphorylation,1,TRINITY_DN29944_c0_g1_i3
GO:0060749,"The progression of the mammary gland alveolus over time, from its formation to its mature state. The mammary gland alveolus is a sac-like structure that is found in the mature gland.",BP,mammary gland alveolus development,1,TRINITY_DN33012_c5_g1_i6
GO:0060762,"Any process that modulates the rate, frequency, or extent of branching involved in mammary gland duct morphogenesis.",BP,regulation of branching involved in mammary gland duct morphogenesis,1,TRINITY_DN33486_c0_g1_i1
GO:0060765,"Any process that modulates the rate, frequency, or extent of the androgen receptor signaling pathway.",BP,regulation of androgen receptor signaling pathway,1,TRINITY_DN34029_c1_g1_i6
GO:0060819,"Compensating for the two-fold variation in X-chromosome:autosome ratios between sexes by a global inactivation of all, or most of, the genes on one of the X-chromosomes in the XX sex by genetic imprinting.",BP,inactivation of X chromosome by genetic imprinting,1,TRINITY_DN29480_c0_g2_i1
GO:0060964,"Any process that modulates the rate, frequency, or extent of the downregulation of gene expression through the action of microRNAs (miRNAs), endogenous 21-24 nucleotide small RNAs processed from stem-loop RNA precursors (pre-miRNAs). Once incorporated into a RNA-induced silencing complex (RISC), miRNAs can downregulate gene expression by either of two posttranscriptional mechanisms: mRNA cleavage or translational repression.",BP,regulation of gene silencing by miRNA,8,"TRINITY_DN37329_c2_g1_i2,TRINITY_DN37329_c2_g1_i3,TRINITY_DN39699_c24_g1_i8,TRINITY_DN37329_c2_g1_i11,TRINITY_DN37329_c2_g1_i7,TRINITY_DN39699_c24_g1_i9,TRINITY_DN35372_c2_g2_i1,TRINITY_DN35919_c0_g1_i9"
GO:0060972,The pattern specification process that results in the subdivision of the left/right axis in space to define an area or volume in which specific patterns of cell differentiation will take place or in which cells interpret a specific environment.,BP,left/right pattern formation,2,"TRINITY_DN30701_c4_g1_i3,TRINITY_DN33236_c7_g5_i2"
GO:0060976,"The process whose specific outcome is the progression of the blood vessels of the heart over time, from its formation to the mature structure.",BP,coronary vasculature development,1,TRINITY_DN32799_c2_g1_i4
GO:0060993,Morphogenesis of a kidney. A kidney is an organ that filters the blood and excretes the end products of body metabolism in the form of urine.,BP,kidney morphogenesis,1,TRINITY_DN35224_c1_g1_i6
GO:0060996,"The process whose specific outcome is the progression of the dendritic spine over time, from its formation to the mature structure. A dendritic spine is a protrusion from a dendrite and a specialized subcellular compartment involved in synaptic transmission.",BP,dendritic spine development,2,"TRINITY_DN35039_c2_g8_i1,TRINITY_DN34920_c8_g2_i12"
GO:0060998,"Any process that modulates the rate, frequency, or extent of dendritic spine development, the process whose specific outcome is the progression of the dendritic spine over time, from its formation to the mature structure.",BP,regulation of dendritic spine development,1,TRINITY_DN28984_c0_g1_i1
GO:0061003,"Any process that increases the rate, frequency, or extent of dendritic spine morphogenesis, the process in which the anatomical structures of a dendritic spine are generated and organized. A dendritic spine is a protrusion from a dendrite and a specialized subcellular compartment involved in synaptic transmission.",BP,positive regulation of dendritic spine morphogenesis,6,"TRINITY_DN38580_c2_g1_i4,TRINITY_DN34647_c5_g1_i2,TRINITY_DN34647_c5_g1_i4,TRINITY_DN34647_c5_g1_i3,TRINITY_DN36877_c0_g9_i2,TRINITY_DN28436_c0_g1_i1"
GO:0061024,"A process which results in the assembly, arrangement of constituent parts, or disassembly of a membrane. A membrane is a double layer of lipid molecules that encloses all cells, and, in eukaryotes, many organelles; may be a single or double lipid bilayer; also includes associated proteins.",BP,membrane organization,2,"TRINITY_DN35544_c3_g2_i15,TRINITY_DN27084_c0_g3_i3"
GO:0061026,The regrowth of cardiac muscle tissue to repair injured or damaged muscle fibers in the postnatal stage.,BP,cardiac muscle tissue regeneration,1,TRINITY_DN33012_c5_g1_i6
GO:0061028,"The establishment of a barrier between endothelial cell layers, such as those in the brain, lung or intestine, to exert specific and selective control over the passage of water and solutes, thus allowing formation and maintenance of compartments that differ in fluid and solute composition.",BP,establishment of endothelial barrier,2,"TRINITY_DN38768_c1_g1_i9,TRINITY_DN31899_c3_g1_i1"
GO:0061045,"Any process that decreases the rate, frequency, or extent of the series of events that restore integrity to a damaged tissue, following an injury.",BP,negative regulation of wound healing,3,"TRINITY_DN39419_c4_g1_i5,TRINITY_DN39419_c4_g1_i7,TRINITY_DN39419_c4_g1_i1"
GO:0061063,"Any process that increases the rate, frequency, or extent of nematode larval development, the process whose specific outcome is the progression of the nematode larva over time, from its formation to the mature structure. Nematode larval development begins with the newly hatched first-stage larva (L1) and ends with the end of the last larval stage (for example the fourth larval stage (L4) in C. elegans). Each stage of nematode larval development is characterized by proliferation of specific cell lineages and an increase in body size without alteration of the basic body plan. Nematode larval stages are separated by molts in which each stage-specific exoskeleton, or cuticle, is shed and replaced anew.",BP,positive regulation of nematode larval development,1,TRINITY_DN32822_c1_g2_i1
GO:0061072,The process in which the iris is generated and organized. The iris is an anatomical structure in the eye whose opening forms the pupil. The iris is responsible for controlling the diameter and size of the pupil and the amount of light reaching the retina.,BP,iris morphogenesis,2,"TRINITY_DN36776_c0_g1_i2,TRINITY_DN36776_c0_g1_i5"
GO:0061077,The process of inhibiting aggregation and assisting in the covalent and noncovalent assembly of single chain polypeptides or multisubunit complexes into the correct tertiary structure that is dependent on interaction with a chaperone.,BP,chaperone-mediated protein folding,5,"TRINITY_DN37174_c1_g2_i1,TRINITY_DN37162_c1_g1_i1,TRINITY_DN29529_c6_g1_i3,TRINITY_DN29529_c6_g1_i1,TRINITY_DN29529_c6_g1_i4"
GO:0061086,"Any process that decreases the rate, frequency, or extent of histone H3-K27 methylation. Histone H3-K27 methylation is the modification of histone H3 by addition of a methyl group to lysine at position 27 of the histone.",BP,negative regulation of histone H3-K27 methylation,1,TRINITY_DN38417_c2_g3_i4
GO:0061154,"The process in which the anatomical structures of a tube are generated and organized from an endothelium. Endothelium refers to the layer of cells lining blood vessels, lymphatics, the heart, and serous cavities, and is derived from bone marrow or mesoderm. Corneal endothelium is a special case, derived from neural crest cells.",BP,endothelial tube morphogenesis,1,TRINITY_DN28394_c0_g1_i2
GO:0061162,The specification and formation of monopolar intracellular organization or cell growth patterns. Monopolar cell organization is directional organization along an axis.,BP,establishment of monopolar cell polarity,1,TRINITY_DN39352_c1_g1_i4
GO:0061178,"Any process that modulates the frequency, rate or extent of the regulated release of insulin that contributes to the response of a cell to glucose.",BP,regulation of insulin secretion involved in cellular response to glucose stimulus,1,TRINITY_DN30141_c2_g1_i16
GO:0061303,"The progression of the cornea over time, from its formation to the mature structure. The cornea is the transparent structure that covers the anterior of the eye.",BP,cornea development in camera-type eye,2,"TRINITY_DN36776_c0_g1_i5,TRINITY_DN36776_c0_g1_i2"
GO:0061337,"Transfer of an organized electrical impulse across the heart to coordinate the contraction of cardiac muscles. The process begins with generation of an action potential (in the sinoatrial node (SA) in humans) and ends with a change in the rate, frequency, or extent of the contraction of the heart muscles.",BP,cardiac conduction,2,"TRINITY_DN35038_c0_g1_i5,TRINITY_DN29867_c5_g1_i3"
GO:0061418,"Any process that modulates the frequency, rate or extent of transcription from an RNA polymerase II promoter as a result of a hypoxia stimulus.",BP,regulation of transcription from RNA polymerase II promoter in response to hypoxia,1,TRINITY_DN34371_c4_g5_i1
GO:0061512,"A process in which a protein is transported to, or maintained in, a location within a cilium.",BP,protein localization to cilium,1,TRINITY_DN26349_c0_g1_i3
GO:0061614,"The cellular synthesis of primary microRNA (pri-miRNA) transcripts from a DNA template by RNA polymerase II, originating at an RNA polymerase II promoter. pri-miRNA transcripts are subsequently processed to produce the ~22nt miRNAs that function in gene regulation.",BP,pri-miRNA transcription from RNA polymerase II promoter,6,"TRINITY_DN34029_c1_g1_i6,TRINITY_DN37001_c7_g2_i9,TRINITY_DN37001_c7_g2_i10,TRINITY_DN37001_c7_g2_i11,TRINITY_DN37001_c7_g2_i5,TRINITY_DN39439_c1_g1_i4"
